Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-10-03,60.0,60.0,50.0,60.0,71000,0,0
2005-10-07,60.0,60.0,60.0,60.0,115000,0,0
2005-10-13,60.0,60.0,55.0,60.0,50500,0,0
2005-10-17,60.0,60.0,60.0,60.0,0,0,0
2005-10-20,60.0,60.0,60.0,60.0,0,0,0
2005-10-25,60.0,60.0,60.0,60.0,0,0,0
2005-10-27,60.0,60.0,50.0,60.0,101000,0,0
2005-11-07,60.0,60.0,60.0,60.0,0,0,0
2005-11-08,60.0,60.0,60.0,60.0,0,0,0
2005-11-09,60.0,60.0,60.0,60.0,0,0,0
2005-11-10,60.0,60.0,55.0,60.0,136500,0,0
2005-11-11,55.0,55.0,55.0,55.0,12000,0,0
2005-11-14,55.0,60.0,55.0,55.0,53500,0,0
2005-11-15,60.0,60.0,60.0,60.0,500,0,0
2005-11-17,60.0,60.0,55.0,60.0,4500,0,0
2005-11-29,60.0,60.0,50.0,60.0,32000,0,0
2005-12-02,55.0,55.0,50.0,55.0,93500,0,0
2005-12-05,55.0,55.0,55.0,55.0,10000,0,0
2005-12-06,55.0,55.0,50.0,55.0,5500,0,0
2005-12-07,50.0,55.0,50.0,50.0,8000,0,0
2005-12-08,50.0,50.0,50.0,50.0,0,0,0
2005-12-15,50.0,50.0,50.0,50.0,50000,0,0
2005-12-16,55.0,55.0,50.0,55.0,50000,0,0
2005-12-19,55.0,55.0,55.0,55.0,10000,0,0
2005-12-20,55.0,55.0,55.0,55.0,1000,0,0
2005-12-21,55.0,55.0,55.0,55.0,179000,0,0
2005-12-23,60.0,60.0,60.0,60.0,500,0,0
2005-12-26,60.0,60.0,60.0,60.0,0,0,0
2005-12-30,60.0,60.0,60.0,60.0,0,0,0
2006-01-02,55.0,55.0,55.0,55.0,17500,0,0
2006-01-04,60.0,60.0,60.0,60.0,500,0,0
2006-01-06,55.0,55.0,55.0,55.0,56000,0,0
2006-01-09,55.0,60.0,55.0,55.0,6500,0,0
2006-01-10,55.0,55.0,55.0,55.0,0,0,0
2006-01-11,60.0,60.0,60.0,60.0,87500,0,0
2006-01-12,55.0,55.0,55.0,55.0,125000,0,0
2006-01-17,55.0,55.0,55.0,55.0,1000,0,0
2006-01-19,50.0,50.0,50.0,50.0,25000,0,0
2006-01-24,55.0,55.0,55.0,55.0,500,0,0
2006-01-27,60.0,60.0,60.0,60.0,500,0,0
2006-01-31,60.0,60.0,60.0,60.0,0,0,0
2006-02-01,60.0,60.0,55.0,60.0,25500,0,0
2006-02-02,55.0,55.0,50.0,55.0,100500,0,0
2006-02-03,55.0,55.0,55.0,55.0,500,0,0
2006-02-08,55.0,55.0,50.0,55.0,175500,0,0
2006-02-09,55.0,55.0,50.0,55.0,75500,0,0
2006-02-22,55.0,55.0,50.0,55.0,20500,0,0
2006-02-24,55.0,55.0,50.0,55.0,20500,0,0
2006-03-01,55.0,55.0,50.0,55.0,25500,0,0
2006-03-02,55.0,55.0,50.0,55.0,75500,0,0
2006-03-06,55.0,55.0,50.0,55.0,25500,0,0
2006-03-14,55.0,55.0,55.0,55.0,30000,0,0
2006-03-23,55.0,55.0,45.0,55.0,6500,0,0
2006-03-29,50.0,50.0,50.0,50.0,4000,0,0
2006-03-30,50.0,50.0,50.0,50.0,0,0,0
2006-03-31,50.0,50.0,50.0,50.0,0,0,0
2006-04-03,50.0,50.0,50.0,50.0,38000,0,0
2006-04-04,50.0,50.0,45.0,50.0,202500,0,0
2006-04-05,50.0,50.0,50.0,50.0,10000,0,0
2006-04-06,45.0,50.0,45.0,45.0,40000,0,0
2006-04-07,50.0,50.0,50.0,50.0,151000,0,0
2006-04-10,50.0,50.0,50.0,50.0,0,0,0
2006-04-11,50.0,50.0,50.0,50.0,75000,0,0
2006-04-14,50.0,50.0,50.0,50.0,0,0,0
2006-04-18,45.0,45.0,45.0,45.0,200000,0,0
2006-04-19,50.0,55.0,50.0,50.0,180000,0,0
2006-04-20,55.0,55.0,50.0,55.0,51000,0,0
2006-04-21,55.0,55.0,55.0,55.0,1000,0,0
2006-04-26,50.0,50.0,50.0,50.0,1000,0,0
2006-04-27,50.0,50.0,45.0,50.0,50000,0,0
2006-05-02,50.0,50.0,45.0,50.0,50000,0,0
2006-05-03,50.0,50.0,50.0,50.0,125000,0,0
2006-05-05,50.0,50.0,50.0,50.0,0,0,0
2006-05-08,50.0,50.0,50.0,50.0,170000,0,0
2006-05-09,45.0,45.0,45.0,45.0,25000,0,0
2006-05-10,55.0,55.0,45.0,55.0,610500,0,0
2006-05-11,55.0,55.0,50.0,55.0,3500,0,0
